sample_index,absolute_token_position,template_id,template_metadata.prompt_framing,template_metadata.output_format,task,task_metadata.task_family,task_metadata.difficulty,task_metadata.domain,task_metadata.complexity,task_metadata.planning_type,task_metadata.stakes,task_metadata.agency,quantity,quantity_text,base_value,base_unit,unit_variant,number_format,value,value_text,unit,source_folder,time_horizon_months,source_sample_count,PLS1,PLS2,PLS3,reconstruction_residual_rms
204,-1,task_available_time,<averaged>,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,nof_conv,1.521028e-06,18,-130.5878186693728,52.96692461653869,23.295613195368123,0.3759759017702658
402,-1,task_available_time,<averaged>,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,nof_conv,1.521028e-06,18,-102.44027255946011,41.05868984743508,31.380862574246667,0.30601363241052015
3196,-1,task_available_time,<averaged>,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,nof_conv,1.521028e-06,18,-83.16459372152732,29.31781351138098,17.49724088034588,0.3207940482934523
6,-1,direct_help,N/A,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,plain,1.521028e-06,24,-81.82519210547737,32.516895950678254,-25.507302417123217,0.19480007062891544
204,-1,direct_help,N/A,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,plain,1.521028e-06,24,-75.1071713458819,38.76262876249,-16.50966273011098,0.2057741578895551
402,-1,direct_help,N/A,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,plain,1.521028e-06,24,-49.529261926296044,5.199025610219195,-33.009538955438174,0.23308693325435306
3196,-1,direct_help,N/A,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,plain,1.521028e-06,24,-34.700310868133606,8.503066777492252,-53.47633168579435,0.2799370203324508
6,-1,direct_help,N/A,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,plain_long,1.521028e-06,24,-49.557099974058765,15.227775294005577,4.079071943726622,0.16953383707032754
204,-1,direct_help,N/A,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,plain_long,1.521028e-06,24,-46.39619464823875,23.549998308773784,6.731638642407855,0.16054834576803462
402,-1,direct_help,N/A,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,plain_long,1.521028e-06,24,-30.29778548347465,-0.48571958810195487,-2.3312676713376206,0.1746642683072722
3196,-1,direct_help,N/A,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,4,seconds,original,numeric,4,4,seconds,plain_long,1.521028e-06,24,-18.000036433042865,4.056658390438961,-17.129818339092274,0.1947215076353146
8,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,nof_conv,1.901285e-06,18,-133.29213569870097,56.83330652145031,-16.050742858511477,0.49901586613043036
206,-1,task_available_time,<averaged>,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,nof_conv,1.901285e-06,18,-131.26994021051766,55.89724563321678,21.30281475280469,0.38319225876705587
404,-1,task_available_time,<averaged>,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,nof_conv,1.901285e-06,18,-108.02408863616996,45.8303210640094,33.02425345344878,0.3075822468210944
3198,-1,task_available_time,<averaged>,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,nof_conv,1.901285e-06,18,-88.98770081292601,33.670756273484756,21.67001300155777,0.3176269923916495
8,-1,direct_help,N/A,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,plain,1.901285e-06,24,-85.84824467666009,34.05191354993749,-23.606540711106295,0.1969089478947275
206,-1,direct_help,N/A,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,plain,1.901285e-06,24,-83.36827859366203,38.726879858342954,-12.355420263460488,0.20394714114001058
404,-1,direct_help,N/A,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,plain,1.901285e-06,24,-52.62783073605934,4.215082910007527,-30.538084884704507,0.23289006201787646
3198,-1,direct_help,N/A,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,plain,1.901285e-06,24,-35.76934006168674,7.343127197636472,-50.75533758545053,0.2767305753028044
8,-1,direct_help,N/A,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,plain_long,1.901285e-06,24,-53.645537747280216,16.753889680482974,6.1894839726268795,0.17041829056926752
206,-1,direct_help,N/A,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,plain_long,1.901285e-06,24,-53.33758402133546,23.454538137964246,10.037131198795068,0.1607785291235292
404,-1,direct_help,N/A,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,plain_long,1.901285e-06,24,-31.476595617253846,-0.9618851875608319,-1.1747485602535037,0.17524072119717066
3198,-1,direct_help,N/A,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,5,seconds,original,numeric,5,5,seconds,plain_long,1.901285e-06,24,-18.26617416630254,3.3267457126619373,-15.984207352982258,0.19282027384500586
10,-1,task_available_time,<averaged>,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,10,seconds,original,numeric,10,10,seconds,nof_conv,3.802571e-06,18,-132.69345096341468,54.71541265963207,-8.187344259708734,0.4857312876827542
208,-1,task_available_time,<averaged>,N/A,choose between two lunch options,personal_choice,low,personal_lifestyle,low,decision,low,individual,N/A,N/A,10,seconds,original,numeric,10,10,seconds,nof_conv,3.802571e-06,18,-128.64413810064602,50.7931065754488,31.40855310947434,0.35386170941638007
406,-1,task_available_time,<averaged>,N/A,copy a short code from one screen to another,copy_information,low,administrative,low,procedural,low,individual,N/A,N/A,10,seconds,original,numeric,10,10,seconds,nof_conv,3.802571e-06,18,-109.52332707365781,43.0071465115342,37.47909330003905,0.3048400960105725
3200,-1,task_available_time,<averaged>,N/A,press a button when a light turns green,quick_action,low,personal_lifestyle,low,reactive,low,individual,N/A,N/A,10,seconds,original,numeric,10,10,seconds,nof_conv,3.802571e-06,18,-90.08661766618866,33.824042000579745,25.618994119309498,0.31546527998941276
10,-1,direct_help,N/A,N/A,answer a yes-or-no question,quick_decision,low,communication,low,reactive,low,individual,N/A,N/A,10,seconds,original,numeric,10,10,seconds,plain,3.802571e-06,24,-86.68281279077024,30.87429501163207,-19.701653359320396,0.19384120179482545
